student_id_number,ACT_score,hs_gpa_entry,hardship_score
1,,,0
2,,,0
3,,1.03,0
4,,,0
5,,,0
6,,,0
7,26,,0
8,,,0
9,,,0
10,19,,0
11,16,,0
12,15,2.147,0
13,,,0
14,17,2.187,0
15,20,2.72,0
16,,,0
17,,,0
18,,,0
19,15,,1
20,,,0
21,,,0
22,,,0
23,21,2.538,0
24,,,0
25,,,0
26,,,0
27,,,0
28,,,0
29,,,0
30,13,,0
31,15,,0
32,,,1
33,28,4.44,0
34,,,0
35,,,0
36,,,0
37,,3.334,0
38,18,2.85,0
39,,,0
40,24,3.2,0
41,,,0
42,18,3.162,3
43,,,0
44,,,0
45,18,3.69,0
46,15,2.459,0
47,22,2.867,1
48,28,3.33,0
49,,,0
50,30,3.53,0
51,,,0
52,,,0
53,,3.094,0
54,,,0
55,,,0
56,15,1.769,1
57,22,3.326,0
58,18,,0
59,,2.881,0
60,,,2
61,19,,0
62,23,2.971,0
63,,,0
64,,,0
65,25,3.592,0
66,25,,0
67,,,2
68,,,0
69,18,2.24,0
70,,,0
71,16,,0
72,,,0
73,17,,0
74,,,0
75,,,0
76,,,0
77,21,,0
78,20,,0
79,,,0
80,,3.59,0
81,,3.75,0
82,29,,0
83,13,,0
84,27,4.3,0
85,,,0
86,18,2.28,0
87,19,,0
88,,,0
89,,,0
90,25,2.61,0
91,,,0
92,,,0
93,16,,0
94,,,0
95,,2.041,0
96,25,3.75,3
97,,,0
98,,,0
99,,2.9,1
100,20,2.791,0
101,21,3.105,0
102,21,3.105,0
103,,,0
104,,,0
105,26,3.396,0
106,,,0
107,,3.51,0
108,,1.744,0
109,,,0
110,18,3.191,0
111,20,3.049,0
112,16,2.21,0
113,,,0
114,,,0
115,,,0
116,,2.375,0
117,,,0
118,,,0
119,,,0
120,,,0
121,25,,0
122,,,0
123,,,0
124,,,0
125,26,3.647,0
126,,,0
127,14,2.25,0
128,,2.572,0
129,18,2.736,0
130,,2.644,0
131,,,0
132,,,0
133,,,1
134,,,1
135,15,3.095,0
136,,,1
137,,,0
138,,3.34,2
139,,2.442,0
140,,2.484,0
141,,,0
142,16,2.643,0
143,,,0
144,,3.4,2
145,,,0
146,,,0
147,29,2.71,1
148,,,0
