acad_plan,acad_plan_desc,acad_career,degree,college,dept_code,acad_plan_type,eff_status
MS8894,Textiles & Clothing,GRAD,MSHCS,HSP,36,MAJ,I
CTCBIG,Conservation Biology,GRAD,,A&S,21,CRT,A
CTDIAG,Diabetes,GRAD,,HSP,81,CRT,A
CTNEDG,Post-Masters Nurse Educator,GRAD,,HSP,32,CRT,A
DP8140,Physical Therapy,GRAD,DPT,HSP,79,MAJ,A
MA4221,Economics,GRAD,MA,A&S,26,MAJ,A
MS6401,Home Economics,GRAD,MSHEC,HSP,36,MAJ,I
MS6403,Nutrition Science,GRAD,MSHCS,HSP,81,MAJ,I
MS6460,Child Development & Fam Life,GRAD,MSHEC,HSP,80,MAJ,I
MS6462,Home Economics Education,GRAD,MSHEC,HSP,36,MAJ,I
MS6471,Food and Nutrition Sciences,GRAD,MSFNS,HSP,81,MAJ,A
MS6942,Individual Program of Study,GRAD,MS,GRAD,0,MAJ,A
MS8101,Hlth Sport Sci/P.E./Rec,GRAD,MSPE,HSP,39,MAJ,I
MS8129,Sports Admin/MBA,GRAD,MSA,COB,84,MAJ,I
MS8544,Family Living,GRAD,MS,HSP,36,MAJ,I
MS8602,Industrial Technology,GRAD,MS,EHS,,MAJ,I
MS8868,Athletic Training,GRAD,MSRSS,HSP,39,MAJ,I
CTHLPM,AOA Health Policy,MED,,OST,,CRT,A
ND1210,Osteopathic Medicine,MED,,OST,63,MAJ,A
NONDEGREEM,Medical Nondegree Seeking,MED,NONDEGRE,OST,,MAJ,A
CTFIPL,Financial Planning,UGRD,,COB,24,CRT,A
CTITAL,Italian Studies,UGRD,,A&S,16,CRT,A
CTPOLC,Political Communication,UGRD,,COM,75,CRT,A
NDDARU,Academic Record,UGRD,,REG,,MAJ,I
OR4221,Economics,UGRD,,A&S,26,MIN,A
OR4231,Geography,UGRD,,A&S,9,MIN,A
OR5222,German,UGRD,,A&S,16,MIN,A
ORCOMS,Communication Studies,UGRD,,COM,29,MIN,A
OR6360,Applied Nutrition,UGRD,,HSP,36,MIN,A
ND5187,Music Therapy,GRAD,,FAR,51,MAJ,I
ND5291,Linguistics,GRAD,,A&S,13,MAJ,A
ND5292,Linguistics - TEFL,GRAD,,A&S,13,MAJ,A
ND5334,Intercultural/Cross Cultural,GRAD,,COM,29,MAJ,I
ND5337,COMS-Comm. Comprehensive,GRAD,,COM,29,MAJ,I
ND6210,Comp Mental Retarded,GRAD,,EHS,34,MAJ,I
ND6224,Social Studies Education,GRAD,,EHS,34,MAJ,I
ND6226,Cultural Studies,GRAD,,EHS,74,MAJ,A
ND6269,Curriculum & Instruction,GRAD,,EHS,34,MAJ,A
BC8817,Interpersonal Communication,UGRD,BSC,COM,29,MAJ,I
BC8850,Telecommunications-Multimedia,UGRD,BSC,COM,31,MAJ,I
BF1924,Film Tutorial,UGRD,BFAFILMT,FAR,87,MAJ,A
BF5122,Art Education,UGRD,BFA,FAR,53,MAJ,I
BF5148,Pre-Art Therapy,UGRD,BFA,FAR,53,MAJ,I
BF5167,Theater Arts/Drama-Management,UGRD,BFA,FAR,50,MAJ,I
BF5168,Stage Management,UGRD,BFA,FAR,50,MAJ,A
BF6903,Photo Illustration,UGRD,BFA,COM,53,MAJ,I
BF8550,General Fine Arts,UGRD,BFA,FAR,0,MAJ,I
BF8598,Theater & Speech Education,UGRD,BFA,FAR,50,MAJ,I
ND6298,CMH and School Counseling,GRAD,,EHS,35,MAJ,A
ND6364,"Apparel,Textiles & Merchandisi",GRAD,,EHS,83,MAJ,I
ND6403,Nutrition Science,GRAD,,HSP,81,MAJ,I
ND6406,Textiles & Clothing,GRAD,,EHS,83,MAJ,I
ND6506,Computer Educ/Technology,GRAD,,EHS,74,MAJ,A
ND6839,Middle Child Education,GRAD,,EHS,34,MAJ,I
ND6842,Middle School Education,GRAD,,EHS,34,MAJ,I
ND6857,Adolescent/Young Adult Educ,GRAD,,EHS,34,MAJ,A
ND6865,Spanish Education,GRAD,,EHS,34,MAJ,I
ND6866,AYA Integrated Language Arts,GRAD,,EHS,34,MAJ,A
ND6869,AYA Integrated Science,GRAD,,EHS,34,MAJ,I
ND6940,Undec-Graduate,GRAD,,GRAD,0,MAJ,A
ND6949,Molecular/Cellular Biol,GRAD,,A&S,5,MAJ,A
BJ6941,Journalism,UGRD,BSJ,COM,30,MAJ,I
BJ8678,Public Relations,UGRD,BSJ,COM,,MAJ,I
BM5053,Instrumental Performance,UGRD,BMUS,FAR,51,MAJ,A
BM5108,Music in Business,UGRD,BMUS,FAR,51,MAJ,I
BM5113,Music Education,UGRD,BMUS,FAR,51,MAJ,I
BS1204,School Nurse,UGRD,BSN,HSP,32,MAJ,I
BS1212,Specialized Studies,UGRD,BSS,UNC,58,MAJ,I
BS1911,Geography,UGRD,BSGEOG,A&S,9,MAJ,I
BS1941,Comm Sciences & Disorders,UGRD,BSCSD,HSP,79,MAJ,A
BS2016,Bot Pre-Forestry,UGRD,BS,A&S,5,MAJ,I
BS2017,Bot Prep for Advanced Training,UGRD,BS,A&S,5,MAJ,I
BS2112,PBIO Pre-Forestry,UGRD,BS,A&S,5,MAJ,I
ND8138,Health Policy Certificate,GRAD,,HSP,80,MAJ,A
ND8147,Exercise Physiology Clinical,GRAD,,HSP,81,MAJ,I
ND8154,Ortho Residency,GRAD,,HSP,79,MAJ,A
ND8501,Health Promotion,GRAD,,HSP,80,MAJ,I
ND8515,Secondary Guidance & Counsel,GRAD,,REG,35,MAJ,I
ND8923,TESOL Endorse - Linguistic Trk,GRAD,,A&S,13,MAJ,A
ND8925,Pre-Kindergarten Special Needs,GRAD,,EHS,34,MAJ,A
ND9800,Nondegree Education,GRAD,,EHS,0,MAJ,A
ND9951,Graduate Special,GRAD,,GRAD,0,MAJ,A
BS2127,Bios Pre Professional,UGRD,BS,A&S,21,MAJ,A
BS2144,Zool Pre-Veterinary Medicine,UGRD,BS,A&S,21,MAJ,I
BS3106,Mathematical Statistics Track,UGRD,BS,A&S,15,MAJ,A
BS3323,Geol Sci Environmental Geology,UGRD,BS,A&S,10,MAJ,A
BS4233,Geog Pre-Meteorology,UGRD,BS,A&S,9,MAJ,I
PH2121,Biological Sciences,GRAD,PHD,A&S,21,MAJ,I
PH4211,History,GRAD,PHD,A&S,12,MAJ,A
PH5332,Organizational Communication,GRAD,PHD,COM,29,MAJ,I
PH5334,Intercultural/Cross Cultural,GRAD,PHD,COM,29,MAJ,I
PH5335,Information Systems,GRAD,PHD,COM,29,MAJ,I
PH5361,COMS--Health Communication,GRAD,PHD,COM,29,MAJ,A
PH8681,English Literature,GRAD,PHD,A&S,,MAJ,I
PH8842,Audiology,GRAD,PHD,HSP,28,MAJ,I
BS4237,Geog Prelaw,UGRD,BS,A&S,9,MAJ,I
BS5305,Communication Sciences & Disor,UGRD,BSHSLS,HSP,79,MAJ,A
BS6202,Bookkeeping,UGRD,BSED,EHS,34,MAJ,I
BS6212,Elementary Education,UGRD,BSED,EHS,34,MAJ,A
BS6217,Social Psychology,UGRD,BSED,EHS,34,MAJ,I
