student_id_number,term_code,class_nbr,completed_flag,official_grade,acad_plan,hours_carried
150,1,9785,1,C,BS0411,11
150,3,5167,0,DROP,BS0411,9
150,3,5062,1,D,BS0411,9
150,4,4981,0,DROP,BS0411,8
150,4,4979,1,C-,BS0411,8
83679,4,10902,0,WP,ND1105,14
306,2,9445,0,FS,BS7269,15
89384,6,14391,1,A,ND1202,9
198,3,15293,0,DROP,ND9920,9
90433,5,7545,1,B,BS8100,7
79775,1,5241,1,B+,ND8839,11
79775,1,5245,0,DROP,ND8839,11
66258,6,11958,1,A,BS1203,6
90434,2,11754,1,A-,BS1203,3
66247,5,7985,1,B-,BS2522,16
66247,6,4795,0,DROP,BS2522,13
66247,6,4645,1,S,BS2522,13
84043,6,14391,1,A,AA1114,6
83663,5,7525,1,A,BM5115,16
1505,1,5245,0,DROP,BA4252,12
1505,1,5241,1,B-,BA4252,12
4280,1,12081,1,A,BS1203,6
84059,6,11685,1,B,BA4107,13
7058,1,5250,1,D+,BS7253,16
7058,1,5343,0,DROP,BS7253,16
8328,1,9782,1,B,BA5214,15
8685,1,9784,0,WP,BS7260,16
8684,1,9784,0,WP,BS7260,16
8701,3,12137,1,B+,AA5006,6
8701,6,11685,1,B,AA5006,10
9422,2,6497,1,A,ND0210,4
8602,2,6490,1,A,ND0210,15
10052,2,5184,0,DROP,BS7253,25
10052,2,5068,1,D,BS7253,25
10997,1,12081,1,A,AA5201,5
11020,2,6432,1,A,BS2522,14
15218,2,5067,1,D-,BA2128,12
15218,2,5221,0,DROP,BA2128,12
15218,3,5062,1,C+,BA2128,14
15218,3,5170,0,DROP,BA2128,14
13091,4,4977,0,DROP,BS7260,15
13091,1,5242,0,WP,BS7260,12
13091,4,4974,1,A-,BS7260,15
13091,1,5347,0,DROP,BS7260,12
79985,2,8302,1,C,BS6308,13
11987,1,9786,0,WP,ND0210,16
12743,2,11755,0,FS,BS1203,9
12078,1,8406,1,A,ND9962,15
12078,1,6182,1,B+,ND9962,15
16737,1,8408,1,D-,ND1206,16
18202,6,5531,1,A,BS7269,16
15686,1,6135,1,B,ND0410,10
17401,3,5167,0,DROP,BS7260,17
17401,3,5062,0,F,BS7260,17
18086,6,11685,1,B-,BA4107,7
18771,2,5070,0,DROP,BA4211,18
18771,2,5067,1,C-,BA4211,18
76238,1,14468,0,WP,ND6603,4
15960,1,5348,0,DROP,ND1105,13
15960,1,5243,1,B,ND1105,13
18265,4,5091,0,DROP,MP8145,18
18265,4,4975,0,WP,MP8145,18
76478,1,12081,1,A,BS1203,6
15553,1,9784,0,F,ND8835,13
16008,3,6074,1,B,BS7251,13
22369,1,5348,0,DROP,BS2127,21
22369,1,5243,1,C,BS2127,21
22369,2,5073,0,DROP,BS2127,12
22369,3,5162,0,DROP,BS2127,16
22369,3,5069,1,C+,BS2127,16
22369,2,5071,1,C-,BS2127,12
22564,2,5072,1,B+,BS2507,16
22564,2,5074,0,DROP,BS2507,16
22573,6,11958,1,A,ND1205,3
83694,4,12879,1,A,BS1203,14
19613,1,8402,1,B,ND1201,13
20097,1,9786,1,B-,BS6308,16
19184,3,6513,1,C,BB6124,17
19184,4,5900,1,B+,BB6156,15
21589,2,6448,1,A,ND5368,16
21808,1,5350,0,DROP,BS7252,17
21808,1,5243,1,B,BS7252,17
19644,2,8294,1,C+,BS3321,16
19487,5,6615,1,D-,BA4101,14
